City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,83.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Namatanai,PG,83.57,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
11,Majene,ID,76.37,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
14,Ormara,PK,78.69,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
15,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
16,Shenjiamen,CN,76.84,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
17,Fort Nelson,CA,76.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
20,Amalapuram,IN,76.95,overcast clouds,16.5833,82.0167,swayamprabha service apartments
26,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Guerrero Negro,MX,81.21,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
35,Samarai,PG,78.66,broken clouds,-10.6167,150.6667,Nuli Sapi
43,Harper,LR,75.69,broken clouds,4.375,-7.7169,Screensaver
49,Lorengau,PG,83.43,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
50,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
52,Sioux Lookout,CA,80.98,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
55,Wajima,JP,75.22,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
62,Najran,SA,79.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
66,Gotsu,JP,75.83,overcast clouds,35.0,132.2167,Yurusato
67,Thompson,CA,84.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
68,Atuona,PF,78.57,few clouds,-9.8,-139.0333,Villa Enata
73,High Level,CA,75.31,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
78,Faanui,PF,78.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
84,Nieuw Nickerie,SR,78.13,broken clouds,5.95,-56.9833,Ishwardat Inn
86,Korla,CN,76.6,overcast clouds,41.7597,86.1469,Gulisitan Hotel
90,Santa Marta,CO,82.35,broken clouds,11.2408,-74.199,Casa de Isabella
93,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
95,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
100,Butaritari,KI,81.68,moderate rain,3.0707,172.7902,Isles Sunset Lodge
110,Matadi,CD,76.6,scattered clouds,-5.8167,13.45,Hotel Vivi Palace
112,Hirara,JP,80.87,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
