City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,75,0,4.61,clear sky
1,Hilo,US,19.7297,-155.09,83.25,70,50,5.01,scattered clouds
2,New Norfolk,AU,-42.7826,147.0587,58.91,57,84,7.0,light rain
3,Namatanai,PG,-3.6667,152.4333,83.57,72,20,8.57,few clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,67,75,12.66,broken clouds
5,Ketchikan,US,55.3422,-131.6461,62.28,76,100,7.18,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,74.46,82,38,18.84,light rain
7,Nalut,LY,30.3333,10.85,83.84,23,2,9.37,clear sky
8,Ilulissat,GL,69.2167,-51.1,41.54,99,100,3.94,light rain
9,Salmas,IR,38.1973,44.7653,74.39,57,5,2.06,clear sky
10,Sayyan,YE,15.1718,44.3244,63.48,51,96,2.48,overcast clouds
11,Majene,ID,-3.5403,118.9707,76.37,88,41,8.08,scattered clouds
12,Tuzha,RU,57.6062,47.936,58.5,76,63,6.24,broken clouds
13,Vila Velha,BR,-20.3297,-40.2925,73.35,73,0,3.44,clear sky
14,Ormara,PK,25.2088,64.6357,78.69,86,100,13.24,overcast clouds
15,Bathsheba,BB,13.2167,-59.5167,77.61,88,75,5.75,broken clouds
16,Shenjiamen,CN,29.9576,122.298,76.84,92,100,6.71,overcast clouds
17,Fort Nelson,CA,58.8053,-122.7002,76.59,27,40,12.66,scattered clouds
18,Hobart,AU,-42.8794,147.3294,59.25,53,0,8.01,light rain
19,Lompoc,US,34.6391,-120.4579,87.78,75,75,5.01,broken clouds
20,Amalapuram,IN,16.5833,82.0167,76.95,92,100,6.8,overcast clouds
21,Bone,DE,51.9669,12.1396,68.43,67,13,6.02,few clouds
22,Mount Isa,AU,-20.7333,139.5,67.77,34,2,8.05,clear sky
23,Vaini,TO,-21.2,-175.2,71.76,68,20,11.5,few clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,48.22,93,0,5.75,clear sky
25,Ardabil,IR,38.2498,48.2933,64.51,56,4,4.36,clear sky
26,Hithadhoo,MV,-0.6,73.0833,81.66,75,100,16.71,overcast clouds
27,Healdsburg,US,38.6105,-122.8692,112.01,18,67,6.35,broken clouds
28,Port Hardy,CA,50.6996,-127.4199,69.98,68,75,10.36,broken clouds
29,Quatre Cocos,MU,-20.2078,57.7625,69.91,77,81,19.57,light rain
30,Nioro,GM,13.35,-15.75,76.71,90,100,7.7,overcast clouds
31,Guerrero Negro,MX,27.9769,-114.0611,81.21,53,68,18.19,broken clouds
32,Punta Arenas,CL,-53.15,-70.9167,39.31,100,90,5.75,light rain
